PlaceName,State,TCUSA,Years,TCPopulation,pop_2012,pct_poverty,hh_inc_med,fam_inc_med,pct_hsgrad,pct_bachdeg,pct_ownocc,pct_rentocc,hm_val_med,pct_white,age_med,pct_u18,pct_o65,region9,tcusa8nn
South Charleston city,WV,0,0,-99,13402,0.1335,41590,56203,0.9244,0.2885,0.6802,0.3198,103600,0.8869,43.1,0.1952,0.2083,South Atlantic,0
El Sobrante CDP,CA,0,0,-99,13406,0.0702,102629,99205,0.9062,0.3625,0.8902,0.1098,403900,0.6462,31.6,0.3241,0.0401,Pacific,2
Saraland city,AL,0,0,-99,13407,0.1589,49542,55810,0.8352,0.142,0.7474,0.2526,130000,0.7778,40.8,0.2376,0.1598,East South Central,2
Bedford town,MA,1,14,14503,13407,0.052,104623,131935,0.975,0.629,0.727,0.273,528700,0.8425,43.4,0.254,0.158,New England,1
North Auburn CDP,CA,0,0,-99,13413,0.0877,45328,53246,0.8524,0.1722,0.5789,0.4211,258500,0.8306,41.8,0.2321,0.1937,Pacific,0
Sharonville city,OH,0,0,-99,13422,0.0798,52872,59807,0.8993,0.3351,0.5963,0.4037,146900,0.815,41.1,0.2117,0.1728,East North Central,1
Ephrata borough,PA,1,2,13500,13426,0.071,47082,57345,0.854,0.196,0.623,0.377,152200,0.9114,35.9,0.208,0.131,Middle Atlantic,1
New Ulm city,MN,0,0,-99,13435,0.1175,43245,63007,0.9089,0.2437,0.7485,0.2515,123300,0.9801,41.4,0.2011,0.1876,West North Central,1
Bedford city,IN,0,0,-99,13436,0.2022,34024,43070,0.8052,0.1089,0.6037,0.3963,86500,0.9568,39.5,0.2322,0.1859,East North Central,0
Manorville CDP,NY,0,0,-99,13440,0.0249,99125,113056,0.9595,0.4158,0.8349,0.1651,422100,0.9642,38.9,0.2727,0.1212,Middle Atlantic,0
Fruitville CDP,FL,0,0,-99,13452,0.1008,54920,64617,0.9306,0.2991,0.6681,0.3319,197500,0.9413,43.4,0.211,0.1853,South Atlantic,0
Berea CDP,SC,0,0,-99,13452,0.2437,31582,37854,0.7514,0.1069,0.6324,0.3676,110800,0.7348,37.3,0.2507,0.1746,South Atlantic,1
Canyon city,TX,0,0,-99,13452,0.2708,40824,58211,0.9316,0.3891,0.4988,0.5012,129000,0.8853,26,0.2107,0.1029,West South Central,1
South Park township,PA,0,0,-99,13454,0.077,65571,78351,0.932,0.317,0.793,0.207,142600,0.9463,42.3,0.215,0.134,Middle Atlantic,0
Chaparral CDP,NM,0,0,-99,13456,0.3839,26441,29625,0.5274,0.0432,0.7916,0.2084,66700,0.8786,31.5,0.3118,0.1135,Mountain,1
Franklin Park borough,PA,0,0,-99,13462,0.02,113828,130096,0.984,0.674,0.957,0.043,290700,0.8902,40.2,0.3,0.098,Middle Atlantic,0
